HR(t),Cal(t),Inte(t),METs(t),Steps(t),Timestamp,HR(t-1),Cal(t-1),Inte(t-1),METs(t-1),Steps(t-1),HR(t-2),Cal(t-2),Inte(t-2),METs(t-2),Steps(t-2)
74.2222222222222,2.90556001663208,1,28,21,2016-04-12T13:07:00Z,74.375,1.14146995544434,0,11,0,75.5,3.52817988395691,1,34,35
86.3333333333333,2.90556001663208,1,28,21,2016-04-12T13:08:00Z,74.2222222222222,2.90556001663208,1,28,21,74.375,1.14146995544434,0,11,0
95.3333333333333,3.73571991920471,1,36,23,2016-04-12T13:40:00Z,91,1.14146995544434,0,11,0,72.3333333333333,1.14146995544434,0,11,0
96.6666666666667,3.52817988395691,1,34,8,2016-04-12T13:41:00Z,95.3333333333333,3.73571991920471,1,36,23,91,1.14146995544434,0,11,0
98.2857142857143,1.55655002593994,0,15,0,2016-04-12T13:42:00Z,96.6666666666667,3.52817988395691,1,34,8,95.3333333333333,3.73571991920471,1,36,23
105.555555555556,3.94325995445251,1,38,14,2016-04-12T13:43:00Z,98.2857142857143,1.55655002593994,0,15,0,96.6666666666667,3.52817988395691,1,34,8
107.714285714286,5.18849992752075,1,50,49,2016-04-12T13:44:00Z,105.555555555556,3.94325995445251,1,38,14,98.2857142857143,1.55655002593994,0,15,0
96.2857142857143,4.77341985702515,1,46,19,2016-04-12T13:45:00Z,107.714285714286,5.18849992752075,1,50,49,105.555555555556,3.94325995445251,1,38,14
104.25,4.56587982177734,1,44,60,2016-04-12T13:46:00Z,96.2857142857143,4.77341985702515,1,46,19,107.714285714286,5.18849992752075,1,50,49
105.333333333333,5.39603996276855,1,52,69,2016-04-12T13:47:00Z,104.25,4.56587982177734,1,44,60,96.2857142857143,4.77341985702515,1,46,19
105.285714285714,5.18849992752075,1,50,50,2016-04-12T13:48:00Z,105.333333333333,5.39603996276855,1,52,69,104.25,4.56587982177734,1,44,60
105.142857142857,4.98095989227295,1,48,45,2016-04-12T13:49:00Z,105.285714285714,5.18849992752075,1,50,50,105.333333333333,5.39603996276855,1,52,69
109.857142857143,4.98095989227295,1,48,48,2016-04-12T13:50:00Z,105.142857142857,4.98095989227295,1,48,45,105.285714285714,5.18849992752075,1,50,50
86,4.66965007781982,1,45,0,2016-04-12T13:51:00Z,109.857142857143,4.98095989227295,1,48,48,105.142857142857,4.98095989227295,1,48,45
65.3333333333333,1.34900999069214,0,13,0,2016-04-12T13:52:00Z,86,4.66965007781982,1,45,0,109.857142857143,4.98095989227295,1,48,48
64.6,1.14146995544434,0,11,0,2016-04-12T13:53:00Z,65.3333333333333,1.34900999069214,0,13,0,86,4.66965007781982,1,45,0
62.8,1.03770005702972,0,10,0,2016-04-12T13:54:00Z,64.6,1.14146995544434,0,11,0,65.3333333333333,1.34900999069214,0,13,0
65.3333333333333,1.03770005702972,0,10,0,2016-04-12T13:55:00Z,62.8,1.03770005702972,0,10,0,64.6,1.14146995544434,0,11,0
64.1666666666667,1.14146995544434,0,11,0,2016-04-12T13:56:00Z,65.3333333333333,1.03770005702972,0,10,0,62.8,1.03770005702972,0,10,0
62.7142857142857,1.03770005702972,0,10,0,2016-04-12T13:57:00Z,64.1666666666667,1.14146995544434,0,11,0,65.3333333333333,1.03770005702972,0,10,0
62,1.14146995544434,0,11,0,2016-04-12T13:58:00Z,62.7142857142857,1.03770005702972,0,10,0,64.1666666666667,1.14146995544434,0,11,0
62.1428571428571,1.14146995544434,0,11,0,2016-04-12T13:59:00Z,62,1.14146995544434,0,11,0,62.7142857142857,1.03770005702972,0,10,0
64,1.03770005702972,0,10,0,2016-04-12T14:00:00Z,62.1428571428571,1.14146995544434,0,11,0,62,1.14146995544434,0,11,0
61.3333333333333,1.03770005702972,0,10,0,2016-04-12T14:01:00Z,64,1.03770005702972,0,10,0,62.1428571428571,1.14146995544434,0,11,0
61.4,1.03770005702972,0,10,0,2016-04-12T14:02:00Z,61.3333333333333,1.03770005702972,0,10,0,64,1.03770005702972,0,10,0
62.1666666666667,1.14146995544434,0,11,0,2016-04-12T14:03:00Z,61.4,1.03770005702972,0,10,0,61.3333333333333,1.03770005702972,0,10,0
64.5,1.14146995544434,0,11,0,2016-04-12T14:04:00Z,62.1666666666667,1.14146995544434,0,11,0,61.4,1.03770005702972,0,10,0
70.5454545454545,3.11310005187988,1,30,34,2016-04-12T14:05:00Z,64.5,1.14146995544434,0,11,0,62.1666666666667,1.14146995544434,0,11,0
75.7777777777778,3.11310005187988,1,30,24,2016-04-12T14:06:00Z,70.5454545454545,3.11310005187988,1,30,34,64.5,1.14146995544434,0,11,0
84.4444444444444,4.1508002281189,1,40,58,2016-04-12T14:07:00Z,75.7777777777778,3.11310005187988,1,30,24,70.5454545454545,3.11310005187988,1,30,34
